Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal
40960,90,0.006013,0.000048,0.006014,0.000048
40960,80,0.005865,0.000059,0.005867,0.000059
40960,70,0.003800,0.000026,0.003801,0.000026
40960,60,0.003787,0.000014,0.003788,0.000015
40960,50,0.003801,0.000063,0.003804,0.000067
40960,40,0.003904,0.000045,0.003904,0.000045
40960,30,0.002741,0.000015,0.002741,0.000015
40960,28,0.002735,0.000015,0.002735,0.000015
40960,26,0.002728,0.000019,0.002728,0.000020
40960,24,0.002682,0.000018,0.002682,0.000018
40960,22,0.002683,0.000016,0.002684,0.000016
40960,20,0.002680,0.000014,0.002680,0.000015
40960,18,0.002085,0.000017,0.002086,0.000017
40960,16,0.002088,0.000020,0.002088,0.000020
40960,14,0.002087,0.000018,0.002088,0.000018
40960,12,0.002094,0.000024,0.002097,0.000026
40960,10,0.002096,0.000023,0.002097,0.000023
40960,8,0.001903,0.000024,0.001903,0.000025
40960,6,0.001904,0.000031,0.001904,0.000031
40960,4,0.001913,0.000026,0.001913,0.000026
40960,2,0.001926,0.000033,0.001926,0.000033
81920,-1,0.004166,0.000084,0.004168,0.000086
81920,100,0.011959,0.000110,0.011960,0.000110
81920,90,0.011879,0.000031,0.011881,0.000031
81920,80,0.011858,0.000032,0.011861,0.000037
81920,70,0.007871,0.000066,0.007873,0.000065
81920,60,0.007970,0.000017,0.007971,0.000017
81920,50,0.007938,0.000052,0.007938,0.000052
81920,40,0.007903,0.000056,0.007903,0.000056
81920,30,0.005695,0.000054,0.005696,0.000053
81920,28,0.005732,0.000033,0.005732,0.000033
81920,26,0.005714,0.000039,0.005715,0.000039
81920,24,0.005689,0.000057,0.005690,0.000058
